szakasz;ido;vezeteknev;utonev;csapat
3;1:45:12;Nagy;Gabor;PH
1;2:10:05;Kiss;Eszter;-
5;1:32:44;Toth;Bence;VK
8;1:58:20;Horvath;Luca;LSE
2;1:15:30;Kovacs;Peter;AB
4;2:05:11;Szabo;Anna;-
7;1:40:22;Molnar;David;PH
6;1:55:00;Varga;Elena;VK
3;1:28:15;Farkas;Tamas;AB
1;2:22:10;Balogh;Zsofia;-
5;1:12:05;Papp;Krisztian;LSE
2;1:50:45;Nemeth;Attila;VK
8;2:15:33;Simon;Dora;PH
4;1:33:12;Fekete;Mark;AB
7;1:59:59;Lakatos;Gergo;-
6;2:02:10;Meszaros;Adam;LSE
3;1:10:45;Racz;Barnabas;VK
1;1:48:20;Fulop;Akos;PH
5;2:30:15;Takacs;Noemi;-
2;1:25:40;Juhasz;Laszlo;AB
